エクスポート日時(UTC),エクスポート日時(JST),リポジトリ名,フルネーム,説明,ステータス,活動種別,最終活動からの日数,スター数,フォーク数,ウォッチャー数,未解決Issue数,サイズ,使用言語,ライセンス,トピック,アーカイブ状態,公開状態,デフォルトブランチ,Issues有効,Wiki有効,Projects有効,ホームページ,作成日,最終更新日,最終Push日,Issue最終更新日,最新リリース,URL
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,repo-observer,KenichiroArai/repo-observer,リポジトリ・オブザーバー。GitHub上の全リポジトリを定期的に観測し、状態を自動で可視化・整理する統合管理リポジトリです。,頻繁に更新,Push,0,0,0,0,58,96 KB,TypeScript,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-11-06,2025-11-14,2025-11-14,2025-11-14,リリースなし,https://github.com/KenichiroArai/repo-observer
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,Blog,KenichiroArai/Blog,説明なし,頻繁に更新,Push,0,0,0,0,1,71 MB,HTML,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2018-09-24,2025-11-14,2025-11-14,2025-09-22,リリースなし,https://github.com/KenichiroArai/Blog
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,simple-repo-observer,KenichiroArai/simple-repo-observer,シンプル・リポジトリ・オブザーバー。GitHub上の全リポジトリを定期的に観測し、状態を自動で可視化・整理する統合管理リポジトリです。,頻繁に更新,Issue更新,0,0,0,0,58,14 KB,不明,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-11-12,2025-11-13,2025-11-13,2025-11-14,リリースなし,https://github.com/KenichiroArai/simple-repo-observer
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,daily-tasks-git,KenichiroArai/daily-tasks-git,毎日タスクGIT用,頻繁に更新,Issue更新,0,0,0,0,1,13 KB,不明,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-10-01,2025-11-12,2025-11-12,2025-11-14,リリースなし,https://github.com/KenichiroArai/daily-tasks-git
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,sample-github-actions,KenichiroArai/sample-github-actions,説明なし,頻繁に更新,Push,3,0,0,0,0,20 KB,Python,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-11-10,2025-11-11,2025-11-11,なし,リリースなし,https://github.com/KenichiroArai/sample-github-actions
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,everyday-use-git,KenichiroArai/everyday-use-git,日常使用GIT用,頻繁に更新,Issue更新,0,0,0,0,32,1 KB,不明,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-08-05,2025-11-10,2025-08-05,2025-11-14,リリースなし,https://github.com/KenichiroArai/everyday-use-git
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,sandbox,KenichiroArai/sandbox,テスト、確認、サンドボックス用。,頻繁に更新,Issue更新,7,0,0,0,1,0 KB,不明,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-11-07,2025-11-07,2025-11-07,2025-11-07,リリースなし,https://github.com/KenichiroArai/sandbox
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,kmg-tool-gui,KenichiroArai/kmg-tool-gui,KMGツールのGUI。,定期的に更新,Push,9,0,0,0,1,167 KB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-10-18,2025-11-04,2025-11-04,2025-11-04,v0.1.0 (2025-11-04),https://github.com/KenichiroArai/kmg-tool-gui
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,kmg-tool-cli,KenichiroArai/kmg-tool-cli,KMGツールのCLI。,定期的に更新,Issue更新,12,0,0,0,0,266 KB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-10-18,2025-11-02,2025-11-02,2025-11-02,v0.1.0 (2025-11-02),https://github.com/KenichiroArai/kmg-tool-cli
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,kmg-tool-base,KenichiroArai/kmg-tool-base,KMGツール。Java開発における基本的なツールやKMGシリーズのツールの基盤となるプロジェクトです。,定期的に更新,Issue更新,12,0,0,0,12,5 MB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2021-11-30,2025-11-01,2025-11-01,2025-11-01,v0.2.0 (2025-11-01),https://github.com/KenichiroArai/kmg-tool-base
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,kmg-javafx,KenichiroArai/kmg-javafx,KMGシリーズのJavaFX共通機能。,定期的に更新,Issue更新,17,0,0,0,1,149 KB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-10-18,2025-10-28,2025-10-28,2025-10-28,v0.1.0 (2025-10-28),https://github.com/KenichiroArai/kmg-javafx
