エクスポート日時(UTC),エクスポート日時(JST),リポジトリ名,フルネーム,説明,ステータス,活動種別,最終活動からの日数,スター数,フォーク数,ウォッチャー数,未解決Issue数,クローズ済みIssue数,コミット数,サイズ,使用言語,ライセンス,トピック,アーカイブ状態,公開状態,デフォルトブランチ,Issues有効,Wiki有効,Projects有効,ホームページ,作成日,最終更新日,最終Push日,Issue最終更新日,最新リリース,URL
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,Blog,KenichiroArai/Blog,説明なし,頻繁に更新,Push,0,0,0,0,0,37,1258,78 MB,HTML,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2018-09-24,2026-03-17,2026-03-17,2026-02-15,リリースなし,https://github.com/KenichiroArai/Blog
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,cursor-usage,KenichiroArai/cursor-usage,Cursorの使用量の記録を公開する。,頻繁に更新,Push,0,0,0,0,0,5,76,2 MB,TypeScript,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2026-02-13,2026-03-17,2026-03-17,2026-02-16,v1.0.0 (2026-02-16),https://github.com/KenichiroArai/cursor-usage
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,repo-observer,KenichiroArai/repo-observer,リポジトリ・オブザーバー,頻繁に更新,Push,0,0,0,0,57,1,120,554 KB,TypeScript,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-12-02,2026-03-16,2026-03-16,2026-01-01,v1.2.1 (2025-12-10),https://github.com/KenichiroArai/repo-observer
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,tmh-calendar-import-tool,KenichiroArai/tmh-calendar-import-tool,TMHカレンダーインポートツール,頻繁に更新,Issue更新,3,0,0,0,1,0,1,2 KB,不明,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2026-03-14,2026-03-14,2026-03-14,2026-03-14,リリースなし,https://github.com/KenichiroArai/tmh-calendar-import-tool
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,kmg-core,KenichiroArai/kmg-core,KMGコア。KMGシリーズの核になるプロジェクトです。フレームワークなどの依存関係が少ないです。,頻繁に更新,Push,1,0,0,0,0,66,783,6 MB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2021-11-27,2026-03-08,2026-03-16,2026-03-16,v0.3.2 (2026-03-08),https://github.com/KenichiroArai/kmg-core
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,kmg-tool-gui,KenichiroArai/kmg-tool-gui,KMGツールのGUI。,定期的に更新,Issue更新,9,0,0,0,0,18,64,4 MB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-10-18,2026-03-08,2026-03-08,2026-03-08,v0.2.0 (2026-03-08),https://github.com/KenichiroArai/kmg-tool-gui
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,kmg-javafx,KenichiroArai/kmg-javafx,KMGシリーズのJavaFX共通機能。,定期的に更新,Issue更新,8,0,0,0,1,9,67,4 MB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-10-18,2026-03-07,2026-03-09,2026-03-09,v0.2.0 (2026-03-07),https://github.com/KenichiroArai/kmg-javafx
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,kmg-tool-cli,KenichiroArai/kmg-tool-cli,KMGツールのCLI。,定期的に更新,Issue更新,12,0,0,0,0,15,76,4 MB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-10-18,2026-03-05,2026-03-05,2026-03-05,v0.2.0 (2026-03-05),https://github.com/KenichiroArai/kmg-tool-cli
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,kmg-tool-base,KenichiroArai/kmg-tool-base,KMGツール。Java開発における基本的なツールやKMGシリーズのツールの基盤となるプロジェクトです。,頻繁に更新,Push,1,0,0,0,0,132,1658,5 MB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2021-11-30,2026-03-03,2026-03-16,2026-03-16,v0.3.0 (2026-03-03),https://github.com/KenichiroArai/kmg-tool-base
2026-03-17T19:09:28.829Z,2026-03-18T04:09:28.829+09:00,kmg-fund,KenichiroArai/kmg-fund,KMG基盤。KMGシリーズの基盤になるプロジェクトです。Spring Bootフレームワークをベースにしている。,定期的に更新,Issue更新,16,0,0,0,0,50,289,4 MB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-02-06,2026-03-01,2026-03-01,2026-03-01,v0.3.1 (2026-03-01),https://github.com/KenichiroArai/kmg-fund
